1,0,500,1.5,99,99,99,99
2,0,550,1.4,99,99,99,99
3,0,500,2.0,99,99,99,99
4,0,500,1.7,99,99,99,99
5,0,500,1.6,99,99,99,99
6,0,550,2.0,99,99,99,99
7,0,500,2.3,99,99,99,99
8,0,550,2.3,99,99,99,99
9,0,450,2.0,99,99,99,99
10,2.896,295,1.4,4019,4737,4829,6034
11,0,500,2.2,99,99,99,99
12,2.129,500,2.5,3805,99,99,99
13,0,500,2.1,99,99,99,99
14,0,500,2.1,99,99,99,99
15,2.856,300,1.5,4689,5976,6326,99
16,2.377,200,1.7,4108,5249,5526,99
17,0,500,1.9,99,99,99,99
18,0,500,2.8,99,99,99,99
19,0,500,2.0,99,99,99,99
20,0,500,2.5,99,99,99,99
21,0,500,1.9,99,99,99,99
22,0,500,2.2,99,99,99,99
23,0,500,2.2,99,99,99,99
24,0,500,1.5,99,99,99,99
25,0,500,2.0,99,99,99,99
26,0,500,2.0,99,99,99,99
27,0.335,300,1.5,4975,6487,6617,6681
28,0,500,2.0,99,99,99,99
29,0,500,2.4,99,99,99,99
30,0,500,1.7,99,99,99,99
31,0,500,1.4,99,99,99,99
32,0,500,1.2,99,99,99,99
